lat,lng,name,color,note
47.37738,8.541672,"Zürich Bahnhofquai/HB",#ffff00,134.46
47.376916,8.544086,"Zürich Central",#ffff00,316.85
47.379769,8.537407,"Zürich Sihlquai/HB",#ffff00,340.04
47.378838,8.545304,"Zürich Haldenegg",#ffff00,444.76
